[2020-04-05 20:54:41.438993] Update: 1150 / 1953, Frames: 1178624, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.011,VL: 0.016, Ent: 1.724
[2020-04-05 20:57:14.209320] Update: 1160 / 1953, Frames: 1188864, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.001, Ent: 1.842
[2020-04-05 20:59:49.981144] Update: 1170 / 1953, Frames: 1199104, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.013,VL: 0.000, Ent: 1.785
[2020-04-05 21:02:21.570428] Update: 1180 / 1953, Frames: 1209344, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.033,VL: 0.001, Ent: 1.681
[2020-04-05 21:04:57.601169] Update: 1190 / 1953, Frames: 1219584, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.006, Ent: 1.635
[2020-04-05 21:07:25.698223] Update: 1200 / 1953, Frames: 1229824, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.037,VL: 0.000, Ent: 1.801
[2020-04-05 21:10:01.487793] Update: 1210 / 1953, Frames: 1240064, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.028,VL: 0.020, Ent: 1.795
[2020-04-05 21:12:44.713782] Update: 1220 / 1953, Frames: 1250304, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.006,VL: 0.000, Ent: 1.747
[2020-04-05 21:15:20.783554] Update: 1230 / 1953, Frames: 1260544, Rewards: 0.875, Min: 0.000, Max: 1.000, PL: -0.031,VL: 0.010, Ent: 1.810
[2020-04-05 21:17:53.662889] Update: 1240 / 1953, Frames: 1270784, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.018,VL: 0.000, Ent: 1.781
[2020-04-05 21:20:30.808017] Update: 1250 / 1953, Frames: 1281024, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: 0.004,VL: 0.000, Ent: 1.742
[2020-04-05 21:23:03.191138] Update: 1260 / 1953, Frames: 1291264, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.017,VL: 0.001, Ent: 1.750
[2020-04-05 21:25:34.655705] Update: 1270 / 1953, Frames: 1301504, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.019,VL: 0.004, Ent: 1.749
[2020-04-05 21:28:06.524896] Update: 1280 / 1953, Frames: 1311744, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.015,VL: 0.000, Ent: 1.644
[2020-04-05 21:30:36.085507] Update: 1290 / 1953, Frames: 1321984, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.033,VL: 0.000, Ent: 1.857
[2020-04-05 21:33:11.508182] Update: 1300 / 1953, Frames: 1332224, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.016,VL: 0.000, Ent: 1.860
[2020-04-05 21:35:49.507522] Update: 1310 / 1953, Frames: 1342464, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.026,VL: 0.017, Ent: 1.881
[2020-04-05 21:38:18.829838] Update: 1320 / 1953, Frames: 1352704, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.042,VL: 0.004, Ent: 1.836
[2020-04-05 21:40:46.112259] Update: 1330 / 1953, Frames: 1362944, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.036,VL: 0.010, Ent: 1.898
[2020-04-05 21:43:13.158813] Update: 1340 / 1953, Frames: 1373184, Rewards: 1.000, Min: 1.000, Max: 1.000, PL: -0.024,VL: 0.000, Ent: 1.518
